id,province_id,country_id,name,geom
86,43,1,"GIRUA","0101000020E6100000A4A7C821E22E4BC01A6B7F677B083CC0"
87,43,1,"SANTO ANGELO","0101000020E6100000DE0033DFC1234BC0F65CA626C1433CC0"
88,43,1,"GUARANI DAS MISSOES","0101000020E61000000D9E32C2EB4A4BC0EA997C03201C3CC0"
89,43,1,"CATUIPE","0101000020E61000005A44149337044BC0E5D18DB0A8383CC0"
90,43,1,"AJURICABA","0101000020E610000026A5A0DB4BE24AC03B18B14F00393CC0"
91,43,1,"TRES DE MAIO","0101000020E6100000C8B260E28F204BC0AB1F9BE447C03BC0"
92,43,1,"SANTA ROSA","0101000020E61000008CB96B09F93E4BC04A253CA1D7DB3BC0"
93,43,1,"INDEPENDENCIA","0101000020E6100000B16D5166831C4BC07780272D5CD63BC0"
94,43,1,"CHIAPETA","0101000020E6100000D381ACA756F94AC09BFEEC478AE43BC0"
95,43,1,"ALEGRIA","0101000020E61000008427F4FA93084BC095EEAEB321D33BC0"
96,43,1,"SANTO AUGUSTO","0101000020E61000007C98BD6C3BE34AC0D6E07D552ED83BC0"
97,43,1,"SAO MARTINHO","0101000020E61000007993DFA293F54AC08043A852B3AB3BC0"
98,43,1,"HORIZONTINA","0101000020E6100000130D52F0142C4BC0B0C91AF510993BC0"
99,43,1,"TUCUNDUVA","0101000020E6100000CD548847E23B4BC03E761728299C3BC0"
100,43,1,"ALECRIM","0101000020E61000007C259012BB624BC06E162F1686A83BC0"
101,43,1,"BOA VISTA DO BURICA","0101000020E6100000A04CA3C9C5084BC04B1C7920B2BC3BC0"
102,43,1,"DOUTOR MAURICIO CARDOSO","0101000020E6100000B52FA017EE2E4BC02907B309307C3BC0"
103,43,1,"HUMAITA","0101000020E6100000F04BFDBCA9FE4AC06FD39FFD48893BC0"
104,43,1,"CRISSIUMAL","0101000020E610000051F86C1D1C124BC01C3F541A31773BC0"
105,43,1,"VISTA GAUCHA","0101000020E61000000B3AF67EE0DC4AC06C6D98AFC3473BC0"
106,43,1,"CAMPO NOVO","0101000020E61000005E82531F48E04AC02AC76471FF953BC0"
107,43,1,"SEDE NOVA","0101000020E61000008CF337A110F54AC0DAE55B1FD69B3BC0"
108,43,1,"TRES PASSOS","0101000020E6100000F71DC3633FF74AC0C1DEC4909C703BC0"
109,43,1,"BRAGA","0101000020E6100000ED9DD15625D94AC0F1F274AE28893BC0"
110,43,1,"CORONEL BICACO","0101000020E61000008C63247B84DC4AC09B5434D6FEAE3BC0"
111,43,1,"TENENTE PORTELA","0101000020E610000087122D793CE74AC01CB1169F02583BC0"
112,43,1,"MIRAGUAI","0101000020E61000009DD5027B4CDC4AC01C075E2D77663BC0"
113,43,1,"VICENTE DUTRA","0101000020E61000003599F1B6D2AF4AC067CF656A121C3BC0"
114,43,1,"RODEIO BONITO","0101000020E61000009B53C90050954AC0BF081A33896E3BC0"
115,43,1,"JABOTICABA","0101000020E6100000E8DA17D00BA74AC0FDBB3E73D6A33BC0"
116,43,1,"CONDOR","0101000020E6100000CE1951DA1BC04AC0C5AA4198DB2D3CC0"
117,43,1,"PANAMBI","0101000020E6100000C9703C9F01C14AC0AE47E17A14423CC0"
118,43,1,"PALMEIRA DAS MISSOES","0101000020E610000098158A743FA94AC0E9B81AD995E63BC0"
119,43,1,"FREDERICO WESTPHALEN","0101000020E61000009658198D7CB44AC0016BD5AE09513BC0"
120,43,1,"TAQUARUCU DO SUL","0101000020E61000002BC1E270E6BB4AC0A6EF3504C7693BC0"
121,43,1,"ERVAL SECO","0101000020E6100000E1D231E719BF4AC0E8667FA0DC7A3BC0"
122,43,1,"SEBERI","0101000020E610000081069B3A8FB44AC0E7C41EDAC7723BC0"
123,43,1,"VISTA ALEGRE","0101000020E6100000766F456282C04AC0CB4BFE277F5F3BC0"
124,43,1,"PALMITINHO","0101000020E61000002FC214E5D2C64AC069E04735EC573BC0"
125,43,1,"CAICARA","0101000020E610000006802A6EDCB84AC0143B1A87FA3D3BC0"
126,43,1,"PINHAL","0101000020E610000038533A3C4C9C4AC055905DFBE1883BC0"
127,43,1,"CERRO GRANDE","0101000020E61000001E17D522A2944AC0E5CE4C309C933BC0"
128,43,1,"IRAI","0101000020E61000005ABA826DC4994AC0DFFAB0DEA8393BC0"
129,43,1,"TRES PALMEIRAS","0101000020E61000000DC0064488694AC0DF180280639F3BC0"
130,43,1,"RONDINHA","0101000020E61000004E098849B8724AC001BB9A3C65C93BC0"
131,43,1,"SARANDI","0101000020E610000020D26F5F07764AC09ED0EB4FE2EF3BC0"
132,43,1,"CHAPADA","0101000020E610000003081F4AB4884AC0FC89CA86350D3CC0"
133,43,1,"CONSTANTINA","0101000020E61000008E56B5A4A37C4AC0A3737E8AE3B43BC0"
134,43,1,"CARAZINHO","0101000020E6100000FFB784DDB4644AC00028A5B828433CC0"
135,43,1,"RONDA ALTA","0101000020E6100000C8AEB48CD4654AC0D11E2FA4C3BF3BC0"
136,43,1,"CAMPINAS DO SUL","0101000020E61000005AD1E638B74D4AC08A1BB7989FAF3BC0"
137,43,1,"ALPESTRE","0101000020E610000065C5707500844AC05B423EE8D93C3BC0"
138,43,1,"LIBERATO SALZANO","0101000020E61000003461FBC918894AC082DF8618AF953BC0"
139,43,1,"PLANALTO","0101000020E61000001F9C4F1DAB844AC04679E6E5B0573BC0"
140,43,1,"FAXINALZINHO","0101000020E610000017122E99CC554AC0D4EE397A405E3BC0"
141,43,1,"TRINDADE DO SUL","0101000020E610000056276728EE6E4AC0B7D0950854833BC0"
142,43,1,"ENTRE RIOS DO SUL","0101000020E610000086B6A1A2865D4AC07E6A6E9FD1823BC0"
143,43,1,"NONOAI","0101000020E6100000569DD5027B624AC052B81E85EB593BC0"
144,43,1,"ANDRE DA ROCHA","0101000020E6100000E0D7481284C749C05C57CC086F9F3CC0"
145,43,1,"POCO DAS ANTAS","0101000020E6100000836BEEE87FD549C0CB10C7BAB8753DC0"
